Make,Model,Year,Km,Transmission,Fuel,Price
Hyundai,Elantra HD,2017,"200,000",automatic,gas,"320,000"
Opel,Vectra,1995,"214,000",manual,gas,"85,000"
Speranza,A516,2009,"211,000",manual,gas,"125,000"
Lada,Granta,2021,"19,000",automatic,gas,"290,000"
Hyundai,Excel,1996,"25,000",manual,gas,"70,000"
Chery,A5,2021,"70,000",automatic,gas,"410,000"
Opel,Mokka,2022,"10,000",automatic,gas,"800,000"
Toyota,Corolla,2008,"330,000",automatic,gas,"385,000"
Opel,Corsa,2003,"124,000",manual,gas,"145,000"
Seat,Toledo,2019,"41,000",automatic,gas,"535,000"
Hyundai,Elantra HD,2019,"95,000",automatic,gas,"380,000"
MG,6,2019,"29,700",automatic,gas,"550,000"
Opel,Crossland,2022,"29,700",automatic,gas,"705,000"
Volkswagen,Polo,2003,"185,000",manual,gas,"155,000"
Land Rover,Range Rover Evoque || Evoque,2023,0,automatic,gas,"2,650,000"
Land Rover,Velar,2022,0,automatic,gas,"3,350,000"
Mercedes,GLA,2021,"4,000",automatic,gas,"2,100,000"
Audi,Q7,2022,0,automatic,gas,"3,200,000"
Fiat,500 X,2022,"15,000",automatic,gas,"950,000"
Mercedes,GLC 200,2023,0,automatic,gas,"3,450,000"
Mercedes,C 200 AMG,2023,0,automatic,gas,"2,750,000"
Nissan,Sunny,2023,"22,000",automatic,gas,"360,000"
Audi,Q3,2022,0,automatic,gas,"1,875,000"
Fiat,Tipo,2021,"145,000",manual,gas,"370,000"
Toyota,Corolla,2016,"68,000",automatic,gas,"465,000"
Karry,Q22,2012,"200,000",manual,gas,"80,000"
Skoda,Fantasia,2012,"200,000",automatic,gas,"470,000"
Toyota,Corolla,2022,"28,000",automatic,gas,"880,000"
Skoda,Felicia,1997,"220,000",manual,gas,"55,000"
Hyundai,Tucson,2021,"20,000",automatic,gas,"1,400,000"
Peugeot,406,2003,"200,000",manual,gas,"145,000"
Daihatsu,SIRION,2007,"116,000",automatic,gas,"265,000"
Fiat,Tipo,2021,"44,000",automatic,gas,"670,000"
Opel,Astra,2020,"48,000",automatic,gas,"450,000"
Fiat,132,1978,"200,000",manual,gas,"27,000"
Audi,A6,2020,"93,000",automatic,gas,"1,900,000"
Fiat,Tempra,1998,0,manual,gas,"65,000"
Hyundai,Elantra CN7,2022,"18,000",automatic,gas,"750,000"
Nissan,Sentra,2016,"92,000",automatic,gas,"390,000"
BMW,X3,2017,"85,000",automatic,gas,"1,380,000"
Volkswagen,Golf,2020,900,automatic,gas,"850,000"
Renault,Sandero Step Way,2021,"26,000",automatic,gas,"435,000"
Chevrolet,N300,2022,"40,000",manual,gas,"320,000"
BMW,320,2019,"83,000",automatic,gas,"1,300,000"
Peugeot,308 sw,2011,"141,000",automatic,gas,"295,000"
Chevrolet,N300,2021,"45,000",automatic,gas,"250,000"
Suzuki,Maruti,2012,"98,000",automatic,gas,"80,000"
Chery,Arrizo 5,2020,"45,000",automatic,gas,"255,000"
Suzuki,Pickup,2012,"25,000",manual,gas,"100,000"
Hyundai,Elantra MD,2013,"145,000",automatic,gas,"400,000"
Hyundai,Elantra CN7,2022,"32,000",automatic,gas,"625,000"
BMW,318,2016,"108,000",automatic,gas,"745,000"
Mercedes,C 180,2009,"150,000",automatic,gas,"600,000"
Volkswagen,Polo,1995,0,manual,gas,"105,000"
Lada,2107,2007,"80,000",manual,gas,"50,000"
Skoda,Octavia A7,2014,"190,000",automatic,gas,"490,000"
Chevrolet,Optra,2008,"485,000",automatic,gas,"180,000"
Jeep,Wrangler,1984,0,automatic,gas,"95,000"
Hyundai,Elantra MD,2012,"80,000",automatic,gas,"265,000"
Mercedes,C 180,2018,"60,000",automatic,gas,"1,750,000"
Geely,Emgrand 7,2013,"162,000",manual,gas,"153,000"
Hyundai,XD,2001,"162,000",manual,natural gas,"150,000"
Mercedes,A 180,2021,"35,000",automatic,gas,"1,250,000"
Nissan,Sunny,2018,"306,000",automatic,gas,"320,000"
Mercedes,CLA 200,1980,"400,000",automatic,gas,"90,000"
Ford,Escort,1999,0,manual,gas,"50,000"
Nissan,Sentra,2019,"190,000",automatic,gas,"444,000"
Peugeot,504,1973,0,manual,gas,"42,000"
Fiat,Fiorino,2008,"99,000",manual,gas,"75,000"
Fiat,Tipo,2020,"40,000",manual,gas,"350,000"
Chevrolet,Pickup,2023,"12,500",manual,diesel,"500,000"
Kia,Carens,2014,"22,800",automatic,gas,"500,000"
BMW,320,2006,"199,000",automatic,gas,"350,000"
Peugeot,504,1972,0,manual,gas,"29,000"
Chrysler,Sebring,2004,"180,000",automatic,gas,"145,000"
Kia,Carens,2011,"150,000",automatic,gas,"360,000"
Kia,Cerato,2010,"150,000",automatic,gas,"295,000"
Daewoo,Nubira 2,2005,"200,000",manual,gas,"115,000"
Kia,Rio,2014,"135,000",automatic,gas,"365,000"
Seat,Ateca,2020,"43,000",automatic,gas,"997,000"
Volkswagen,Golf 5,2004,"160,000",automatic,gas,"400,000"
Peugeot,301,2019,"88,000",automatic,gas,"375,000"
Skoda,Octavia A4,2008,"159,000",automatic,gas,"340,000"
Speranza,A516,2011,"95,000",manual,gas,"115,000"
Daihatsu,Terios,2000,"300,000",automatic,gas,"125,000"
Hyundai,Verna,2014,"145,000",manual,gas,"210,000"
Fiat,Siena,2001,"190,000",manual,gas,"65,000"
BMW,X5,2016,"170,000",automatic,gas,"1,625,000"
Nissan,Sentra,2016,"92,000",automatic,gas,"390,000"
Chery,Tiggo 7,2021,"62,500",automatic,gas,"525,000"
Nissan,Sentra,2017,"42,000",automatic,gas,"435,000"
Hyundai,Elantra MD,2016,"170,000",automatic,gas,"420,000"
Renault,Kadjar,2017,"88,000",automatic,gas,"600,000"
Toyota,Corolla,2007,"217,000",automatic,gas,"280,000"
Nissan,Sunny,2005,"300,000",automatic,gas,"165,000"
Chevrolet,Optra,2011,"155,000",automatic,gas,"250,000"
Chevrolet,T-Series,2021,"47,000",manual,diesel,"495,000"
Lada,Granta,2022,"7,130",automatic,gas,"290,000"
Hyundai,Viva,2008,"130,000",manual,gas,"170,000"
Speranza,Tiggo,2017,"160,000",automatic,gas,"290,000"
Hyundai,Avante,2001,"140,000",automatic,gas,"250,000"
Daewoo,Lanos,2006,"156,000",manual,gas,"135,000"
Baic,X7 || BEIJING X7,2022,"15,000",automatic,gas,"1,050,000"
Kia,Rio,2003,"300,000",manual,gas,"100,000"
Lada,1500,2020,"10,000",automatic,gas,"190,000"
Brilliance,Galena,2008,"330,000",automatic,gas,"150,000"
Geely,Ck,2005,"260,000",manual,gas,"65,000"
Suzuki,Swift,1993,"105,000",manual,gas,"50,000"
Renault,Clio,2001,"260,000",manual,gas,"80,000"
Mercedes,E 200,1988,0,automatic,gas,"170,000"
BMW,318,2018,"40,000",automatic,gas,"1,000,000"
Hyundai,Elantra MD,2011,"97,000",automatic,gas,"375,000"
Nissan,Sunny,2008,"319,511",automatic,gas,"200,000"
DFSK,Glory,2021,"14,000",manual,gas,"330,000"
Kia,Sportage,2021,"54,110",automatic,gas,"1,100,000"
Hyundai,Avante,2008,"146,000",automatic,gas,"280,000"
Chevrolet,Trax,2015,"150,000",automatic,gas,"400,000"
Chevrolet,Spark,2020,"53,000",automatic,gas,"210,000"
BMW,418,2016,"150,000",automatic,gas,"900,000"
Skoda,Octavia A4,1998,"185,000",automatic,gas,"210,000"
MG,5,2022,"10,000",automatic,gas,"520,000"
Citroën,C4 Picasso,2016,"107,000",automatic,gas,"480,000"
Mini,Cooper,2010,"90,000",automatic,gas,"440,000"
Byd,F3,2022,"70,000",automatic,gas,"280,000"
Mercedes,E 200,1978,"200,000",manual,gas,"38,000"
Toyota,Belta,2022,"10,000",automatic,gas,"515,000"
Kia,Grand Cerato,2021,"48,000",automatic,gas,"690,000"
Byd,F3,2019,"140,000",manual,gas,"225,000"
Mercedes,E 200,1970,"400,000",manual,gas,"28,000"
Fiat,Tempra,1990,0,manual,gas,"68,000"
Geely,Emgrand 7,2015,"166,000",manual,gas,"175,000"
Fiat,128,1976,0,manual,gas,"12,500"
Chevrolet,T-Series,2022,"50,000",manual,diesel,"350,000"
Kia,Cerato,2005,"250,000",manual,gas,"195,000"
Chevrolet,Aveo,2007,"137,000",manual,gas,"155,000"
Hyundai,Accent RB,2017,"66,000",automatic,gas,"385,000"
Hyundai,Elantra HD,2021,"90,000",automatic,gas,"440,000"
Nissan,Sunny,2021,"12,000",automatic,gas,"430,000"
Renault,Megane,2015,"205,000",automatic,gas,"355,000"
Daewoo,Nubira 2,2001,"180,000",automatic,gas,"115,000"
Skoda,Octavia A4,2001,"200,000",manual,gas,"165,000"
Suzuki,Van,2012,"100,000",manual,gas,"95,000"
Byd,F3,2018,"206,000",manual,gas,"195,000"
Fiat,128,1977,0,manual,gas,"16,000"
Chevrolet,N200,2010,"84,500",manual,gas,"95,000"
Nissan,Sunny,2010,"200,000",manual,gas,"190,000"
Lada,2107,1995,0,manual,gas,"60,000"
Lada,2107,2010,0,manual,gas,"40,000"
Fiat,127,1982,0,manual,gas,"18,000"
Kia,Cerato,2005,"200,000",automatic,gas,"250,000"
Skoda,Fantasia,2011,"180,000",automatic,gas,"300,000"
Chevrolet,Optra,2016,"130,000",automatic,gas,"260,000"
Chevrolet,Aveo,2007,"170,000",manual,gas,"135,000"
Kia,Cerato,2012,"288,000",automatic,gas,"285,000"
Toyota,C-HR,2017,"95,000",automatic,gas,"695,000"
Chery,Tiggo 3,2018,"140,000",automatic,gas,"310,000"
Opel,Insignia,2016,"41,000",automatic,gas,"820,000"
Nissan,Sunny,2016,"88,000",automatic,gas,"310,000"
Toyota,Corolla,2019,"100,000",automatic,gas,"610,000"
Volkswagen,Passat,2013,"190,000",automatic,gas,"540,000"
Nissan,Sentra,2021,"30,000",automatic,gas,"550,000"
Hyundai,Excel,1996,"200,000",manual,gas,"62,000"
Toyota,Corolla,2021,"45,000",automatic,gas,"750,000"
Toyota,Corolla,2021,"40,000",automatic,gas,"750,000"
Kia,Sportage,2017,"93,000",automatic,gas,"770,000"
Hyundai,Tucson,2022,"10,000",automatic,gas,"990,000"
Opel,Astra,2013,"117,000",automatic,gas,"328,000"
Ford,Kuga,2015,"170,000",automatic,gas,"520,000"
Volkswagen,Jetta,2011,"115,000",automatic,gas,"370,000"
Nissan,Sunny,2021,"40,000",automatic,gas,"400,000"
Mitsubishi,Lancer EX Shark,2018,"112,000",automatic,gas,"455,000"
Fiat,Tipo,2021,"100,000",automatic,gas,"450,000"
Speranza,Tiggo,2012,"192,000",automatic,gas,"235,000"
Haval,H6,2022,"20,000",automatic,gas,"880,000"
Fiat,500 X,2022,"13,000",automatic,gas,"850,000"
Daewoo,Lanos,2004,"150,000",manual,gas,"127,000"
Fiat,131,1980,0,manual,gas,"45,000"
Mitsubishi,Lancer EX Shark,2015,"200,000",automatic,gas,"320,000"
Mercedes,CLA 200,1980,"400,000",automatic,gas,"90,000"
BMW,320,2016,"128,000",automatic,gas,"830,000"
Peugeot,5008,2019,"80,000",automatic,gas,"820,000"
Chery,Tiggo 3,2022,"13,000",automatic,gas,"465,000"
MG,ZS,2022,"20,000",automatic,gas,"575,000"
Fiat,Tipo,2018,"124,000",automatic,gas,"425,000"
Hyundai,Tucson GDI,2017,"263,000",automatic,gas,"680,000"
Hyundai,Verna,2017,"26,000",automatic,gas,"350,000"
Hyundai,Matrix,2008,"200,000",automatic,gas,"160,000"
Kia,Carens,2011,0,automatic,gas,"350,000"
Hyundai,Elantra MD,2013,"146,000",automatic,gas,"375,000"
Jac,J2,2017,"280,000",automatic,gas,"210,000"
Hyundai,Verna,2012,"165,000",manual,gas,"160,000"
Chery,Tiggo 7,2023,150,automatic,gas,"599,000"
Chevrolet,Trax,2014,"65,000",automatic,gas,"425,000"
Lada,2107,2010,0,manual,gas,"40,000"
Skoda,Octavia A8,2021,"59,000",automatic,gas,"850,000"
Mercedes,GLC 300,2021,"21,000",automatic,gas,"3,300,000"
Nissan,Sunny,2016,"91,000",automatic,gas,"233,000"
Brilliance,V5,2013,"160,000",automatic,gas,"335,000"
Chevrolet,Optra,2011,"200,000",automatic,gas,"225,000"
Kia,Cerato,2016,"75,000",automatic,gas,"500,000"
Speranza,A516,2012,"65,000",manual,gas,"150,000"
Peugeot,5008,2022,"8,000",automatic,gas,"1,400,000"
Nissan,Sunny,2022,"17,000",automatic,gas,"330,000"
Opel,Insignia,2015,"95,000",automatic,gas,"530,000"
Chevrolet,Pickup,2019,"130,000",manual,diesel,"400,000"
Ssang Yong,Tivoli XLV,2018,"57,000",automatic,gas,"600,000"
Opel,Astra,2020,"65,000",automatic,gas,"510,000"
Hyundai,I20,2022,"7,000",automatic,gas,"560,000"
Hyundai,Tucson,2017,"120,000",automatic,gas,"700,000"
Opel,Astra,2017,"35,000",automatic,gas,"545,000"
Suzuki,Maruti,1999,0,manual,gas,"20,000"
Chevrolet,Cruze,2010,"170,000",automatic,gas,"200,000"
Hyundai,Verna,2008,"130,000",manual,gas,"165,000"
Lada,2105,1994,"100,000",manual,gas,"31,000"
Hyundai,Elantra,2008,"200,000",automatic,gas,"260,000"
Hyundai,Creta,2017,"200,000",automatic,gas,"500,000"
Renault,Sandero,2013,"386,000",automatic,gas,"205,000"
Nissan,Tiida,2007,"150,000",automatic,gas,"210,000"
Nissan,Pathfinder,1994,"200,000",manual,gas,"135,000"
Chevrolet,Optra,2021,"92,000",automatic,gas,"350,000"
BMW,320,2013,"175,000",automatic,gas,"695,000"
Opel,Astra,2021,"19,000",automatic,gas,"550,000"
Renault,Sandero,2013,"265,000",manual,gas,"175,000"
Renault,Sandero,2013,"137,000",automatic,gas,"210,000"
Fiat,127,1983,"100,000",manual,gas,"18,500"
Jeep,Wrangler,2016,"190,000",automatic,gas,"950,000"
Hyundai,Accent RB,2011,"148,000",automatic,gas,"260,000"
Geely,Emgrand 7,2015,"180,000",manual,gas,"145,000"
Mercedes,C 180,2022,20,automatic,gas,"2,500,000"
Opel,Vectra,2008,"113,000",automatic,gas,"250,000"
Jeep,Cherokee,1979,"2,000",automatic,gas,"300,000"
Nissan,Sunny,2018,"49,500",automatic,gas,"355,000"
Jeep,Renegade,2018,"10,000",automatic,gas,"820,000"
Hyundai,H1,2013,"300,000",manual,diesel,"270,000"
Opel,Astra,2017,"150,000",automatic,gas,"435,000"
Chevrolet,Aveo,2010,"73,000",manual,gas,"145,000"
Toyota,Belta,2022,"8,300",automatic,gas,"540,000"
Fiat,Punto,2015,"180,000",manual,gas,"250,000"
Hyundai,Elantra,2006,"145,000",automatic,gas,"250,000"
Chery,Arrizo 5,2021,"70,000",automatic,gas,"295,000"
Chevrolet,Optra,2021,"70,000",automatic,gas,"332,000"
Nissan,Sunny,2019,"80,000",automatic,gas,"330,000"
Renault,Duster,2019,"13,400",automatic,gas,"550,000"
Mercedes,C 180,2016,"130,000",automatic,gas,"1,500,000"
Fiat,131,1976,0,manual,gas,"25,000"
Geely,Emgrand 7,2018,"65,000",manual,gas,"160,000"
Fiat,127,1983,0,manual,gas,"17,000"
Kia,Rio,2015,"130,000",automatic,gas,"370,000"
Hyundai,Elantra AD,2020,"45,000",automatic,gas,"510,000"
MG,6,2021,"50,000",automatic,gas,"560,000"
Jeep,Wrangler,1991,"200,000",manual,gas,"100,000"
Volvo,XC60,2022,"3,000",automatic,gas,"2,890,000"
Daewoo,Nubira 2,2005,"200,000",manual,gas,"135,000"
Fiat,128,1985,"25,000",manual,gas,"35,000"
Renault,Kadjar,2020,"56,000",automatic,gas,"670,000"
Chery,Arrizo 5,2022,"15,000",manual,gas,"350,000"
Kia,Sportage,2021,"1,000",automatic,gas,"1,000,000"
Volvo,XC90,2020,"45,000",automatic,gas,"2,700,000"
Opel,Insignia,2016,"90,000",automatic,gas,"650,000"
Chevrolet,Optra,2012,"235,000",automatic,gas,"215,000"
Geely,X7,2015,"100,000",automatic,gas,"380,000"
Fiat,132,1973,0,manual,gas,"17,000"
Kia,Rio,2013,"123,500",automatic,gas,"300,000"
Byd,F3,2021,"150,000",manual,natural gas,"295,000"
Hyundai,Tucson,2018,"170,000",automatic,gas,"725,000"
Kia,Soul,2013,"86,000",automatic,gas,"405,000"
Chevrolet,Optra,2022,"6,000",automatic,gas,"430,000"
Chevrolet,Optra,2020,"51,000",automatic,gas,"85,000"
Changan,CS 35,2016,"130,000",automatic,gas,"350,000"
Mitsubishi,Lancer EX Shark,2016,"56,500",automatic,gas,"410,000"
Jeep,Cherokee,1993,0,manual,gas,"85,000"
Nissan,Sunny,2015,"150,000",automatic,gas,"275,000"
Jac,S2,2016,"110,000",automatic,gas,"245,000"
Kia,Cerato,2018,"183,000",automatic,gas,"490,000"
Buick,Skylark,1980,"300,000",automatic,gas,"45,000"
Chevrolet,Aveo,2020,"85,000",automatic,gas,"375,000"
Hyundai,Tucson,2021,"20,000",automatic,gas,"1,300,000"
MG,5,2022,"19,000",automatic,gas,"500,000"
Jeep,Wrangler,2017,"190,000",automatic,gas,"1,100,000"
Jeep,Cherokee,2018,"105,000",automatic,gas,"1,750,000"
Fiat,Shahin,1996,0,manual,gas,"40,000"
Toyota,Corolla,2020,"48,000",automatic,gas,"670,000"
Chevrolet,Aveo,2016,"300,000",automatic,gas,"240,000"
Skoda,Octavia A8,2021,"100,000",automatic,gas,"810,000"
Fiat,128,1988,"200,000",manual,gas,"25,000"
Chevrolet,Blazer,1980,0,automatic,natural gas,"130,000"
Kia,Sephia,2002,"265,000",automatic,gas,"120,000"
Hyundai,Elantra AD,2020,"38,000",automatic,gas,"600,000"
Chevrolet,Aveo,2012,"82,000",manual,gas,"190,000"
Citroën,C Elysee,2020,"94,000",automatic,gas,"410,000"
Nissan,Sunny,2014,"55,000",automatic,gas,"320,000"
Toyota,Corolla,2022,"15,000",automatic,gas,"875,000"
Toyota,Belta,2022,50,automatic,gas,"630,000"
Mazda,323,1982,"99,000",manual,gas,"33,000"
Peugeot,3008,2021,"82,000",automatic,gas,"1,050,000"
Citroën,C5 Aircross,2020,"108,000",automatic,gas,"810,000"
Toyota,Rumion,2022,"11,000",automatic,gas,"575,000"
Renault,Sandero Step Way,2013,"95,000",manual,gas,"200,000"
Seat,Ibiza,2019,"134,000",automatic,gas,"580,000"
Proton,Persona,2014,"200,000",automatic,gas,"255,000"
Ssang Yong,Tivoli XLV,2019,"70,000",automatic,gas,"585,000"
Kia,Sephia,2000,"170,000",manual,gas,"95,000"
Toyota,Corolla,2008,"180,000",automatic,gas,"285,000"
Proton,Preve,2019,"110,000",automatic,gas,"425,000"
Volkswagen,Passat,2019,"89,000",automatic,gas,"760,000"
Kia,Sportage,2022,"30,000",automatic,gas,"1,200,000"
Chery,Tiggo 3,2017,"150,000",automatic,gas,"300,000"
Chevrolet,Optra,2009,"200,000",automatic,gas,"190,000"
Fiat,500 L,2015,"49,000",automatic,gas,"575,000"
Chevrolet,Aveo,2018,"70,000",automatic,natural gas,"265,000"
Chevrolet,Optra,2015,"120,000",automatic,gas,"210,000"
Mercedes,CLA 180,2015,"142,000",automatic,gas,"900,000"
Mazda,323,2000,"300,000",manual,gas,"100,000"
Speranza,A113,2008,"188,000",manual,gas,"75,000"
Opel,Astra,2020,"32,000",automatic,gas,"650,000"
Fiat,128,1984,0,manual,gas,"35,000"
Daihatsu,Charade,1990,"190,000",automatic,gas,"52,000"
Renault,Logan,2011,"175,000",manual,gas,"125,000"
Nissan,Qashqai,2017,"71,500",automatic,gas,"510,000"
Mazda,3 || Mazda 3,2010,"180,000",automatic,gas,"270,000"
Suzuki,Van,2011,"170,000",manual,gas,"95,000"
Nissan,Sunny,2022,"29,000",automatic,gas,"405,000"
Renault,Logan,2013,"156,000",manual,gas,"135,000"
Volkswagen,Cross,2006,"240,000",manual,gas,"116,000"
Hyundai,Tucson Turbo GDI || Tucson Turbo,2019,"50,000",automatic,gas,"850,000"
Mitsubishi,Lancer EX Shark,2015,"77,000",automatic,gas,"410,000"
Ford,Escort,1998,"180,000",manual,gas,"40,000"
Canghe || Changhe,M50 || M 50,2020,"104,000",manual,gas,"250,000"
Skoda,Fantasia,2013,"130,000",automatic,gas,"430,000"
Peugeot,504,1978,0,manual,gas,"50,000"
Toyota,Corolla,2019,"65,000",automatic,gas,"620,000"
Hyundai,Matrix,2008,"230,000",automatic,gas,"245,000"
Hyundai,Elantra MD,2012,"87,000",automatic,gas,"310,000"
Renault,Sandero,2021,"30,000",automatic,gas,"320,000"
Nissan,Sunny,2001,"190,000",manual,gas,"160,000"
Fiat,500 X,2021,"19,500",automatic,gas,"880,000"
Hyundai,Accent,2007,"100,000",automatic,gas,"180,000"
Volkswagen,Beetle,1983,"200,000",manual,gas,"22,000"
Mercedes,C 180,2002,"100,000",automatic,gas,"320,000"
DFSK,EAGLE 580,2019,"104,000",automatic,gas,"430,000"
Renault,Fluence,2010,"200,000",automatic,gas,"250,000"
Renault,Megane,2020,"55,000",automatic,gas,"600,000"
Volvo,940 || 940,1998,"200,000",manual,gas,"92,000"
Toyota,Corolla,2022,"1,500",automatic,gas,"835,000"
Ford,Focus,2018,"127,000",automatic,gas,"470,000"
Toyota,Corolla,2019,"66,000",automatic,gas,"700,000"
Renault,Logan,2014,"340,000",manual,gas,"200,000"
Toyota,Corolla,2007,"180,000",manual,gas,"350,000"
Opel,Astra,2014,"108,000",automatic,gas,"355,000"
Renault,Megane,2021,"44,000",automatic,gas,"565,000"
Mercedes,E 200,1989,"164,000",automatic,gas,"345,000"
Peugeot,3008,2013,"200,000",automatic,gas,"480,000"
Nissan,Sunny,2022,"39,000",automatic,gas,"450,000"
Senova,A1,2015,"100,000",automatic,gas,"185,000"
Fiat,131,1985,0,manual,gas,"38,000"
Chevrolet,Cruze,2013,"161,000",automatic,gas,"280,000"
Hyundai,Elantra MD,2016,"155,000",automatic,gas,"360,000"
Honda,Civic,2012,"225,000",automatic,gas,"375,000"
Kia,Forte,2010,"85,000",automatic,gas,"270,000"
Skoda,Superb,2019,"57,000",automatic,gas,"965,000"
Zotye,Z100,2020,"13,000",manual,gas,"250,000"
Toyota,Corolla,2016,"105,000",automatic,gas,"455,000"
Byd,F3,2014,"133,000",automatic,gas,"195,000"
Peugeot,3008,2019,"83,000",automatic,gas,"865,000"
Toyota,Hilux,2009,"140,000",automatic,gas,"950,000"
Nissan,Stanza,1983,"130,000",automatic,gas,"65,000"
Chevrolet,N300,2021,"100,000",manual,gas,"255,000"
Jeep,Liberty,2003,0,automatic,gas,"230,000"
Chevrolet,Optra,2022,"55,000",automatic,gas,"365,000"
MG,5,2021,"16,000",automatic,gas,"335,000"
Kia,Sportage,2022,18,automatic,gas,"850,000"
Kia,Cerato,2017,"90,000",automatic,gas,"550,000"
BMW,740,2007,"220,000",automatic,gas,"470,000"
Mercedes,B 180,2014,"220,000",automatic,gas,"500,000"
Fiat,132,1979,0,manual,gas,"40,000"
Peugeot,504,1975,0,manual,gas,"45,000"
Byd,L3,2015,"16,000",automatic,gas,"250,000"
Mercedes,C 180,2015,"200,000",automatic,gas,"1,100,000"
Lada,1500,1983,0,manual,gas,"35,000"
Nissan,Sunny,2018,"170,000",automatic,gas,"350,000"
Nissan,Sunny,1983,"130,000",automatic,gas,"65,000"
Fiat,Tempra,1991,"80,000",manual,gas,"65,000"
Fiat,132,1978,0,manual,gas,"55,000"
Daewoo,Nubira 2,2001,"147,000",automatic,gas,"150,000"
Renault,Logan,2018,"49,000",automatic,gas,"98,000"
Kia,Rio,2013,"75,000",automatic,gas,"275,000"
Fiat,Shahin,2002,"100,000",manual,gas,"47,000"
MG,Rx5,2019,"100,000",automatic,gas,"570,000"
Renault,Kadjar,2017,"125,000",automatic,gas,"650,000"
Renault,Logan,2016,"160,000",automatic,gas,"220,000"
Renault,Logan,2016,"160,000",automatic,gas,"285,000"
Chevrolet,Optra,2017,"110,000",automatic,gas,"96,000"
Mercedes,E 200,1990,"200,000",automatic,gas,"195,000"
Mitsubishi,Lancer Crystala,1999,"240,000",automatic,gas,"137,000"
Hyundai,Accent RB,2023,"1,000",automatic,gas,"560,000"
Hyundai,Bayon,2022,400,automatic,gas,"727,000"
Renault,Megane,2006,"180,000",automatic,gas,"165,000"
Fiat,127,1982,"100,000",manual,gas,"14,000"
Opel,Corsa,2000,"180,000",manual,gas,"82,000"
Nissan,Sunny,2010,"100,000",automatic,gas,"200,000"
Nissan,Sunny,2000,"314,000",manual,gas,"110,000"
Subaru,XV,2016,"60,000",automatic,gas,"650,000"
Hyundai,Elantra AD,2017,"100,000",automatic,gas,"480,000"
Nissan,Tiida,2006,"112,000",manual,gas,"200,000"
Toyota,Corolla,2009,"288,000",automatic,gas,"290,000"
Renault,Sandero,2021,"10,000",automatic,gas,"440,000"
Jeep,Renegade,2020,"55,000",automatic,gas,"875,000"
Chevrolet,Captiva,2021,"26,000",automatic,gas,"885,000"
Hyundai,Creta,2019,"53,000",automatic,gas,"630,000"
Opel,Corsa,2016,"90,000",automatic,gas,"350,000"
Kia,Sephia,1982,1,manual,gas,"65,000"
Honda,City,2016,"140,000",automatic,gas,"470,000"
MG,6,2021,"50,000",automatic,gas,"550,000"
Hyundai,Elantra AD,2020,"113,000",automatic,gas,"550,000"
Daewoo,Nubira 1,1997,"216,000",manual,gas,"98,500"
Volkswagen,Passat,2017,"110,000",automatic,gas,"675,000"
Hyundai,Elantra AD,2020,"65,000",automatic,gas,"620,000"
Hyundai,Elantra HD,2022,"52,000",automatic,gas,"540,000"
Nissan,Sunny,2019,"60,000",automatic,gas,"330,000"
Suzuki,Swift,1997,"200,000",manual,gas,"70,000"
Nissan,Sunny,2016,"80,000",automatic,gas,"292,000"
Byd,F3,2018,"110,000",manual,natural gas,"250,000"
MG,Rx5,2019,"98,000",automatic,gas,"580,000"
Hyundai,IX 35,2015,"200,000",automatic,gas,"550,000"
Skoda,Fabia,2001,0,manual,gas,"90,000"
Hyundai,Elantra MD,2016,0,automatic,gas,"375,000"
Volkswagen,Jetta,1989,0,manual,gas,"68,000"
Daewoo,Lanos 2,2004,"300,000",manual,gas,"130,000"
Great Wall,Peri,2009,"130,000",manual,gas,"75,000"
Citroën,C Elysee,2021,"40,000",automatic,gas,"400,000"
Renault,Fluence,2014,"116,000",automatic,gas,"310,000"
Geely,Emgrand X7,2019,"75,000",automatic,gas,"450,000"
Mitsubishi,Lancer Crystala,1998,"200,000",automatic,gas,"140,000"
Suzuki,Alto,2018,"70,000",manual,gas,"200,000"
Hyundai,Elantra HD,2017,"130,000",automatic,gas,"360,000"
Jeep,Grand Cherokee,2020,"35,000",automatic,gas,"2,350,000"
Mazda,3 || Mazda 3,2019,"160,000",automatic,gas,"530,000"
MG,5,2020,"130,000",automatic,gas,"375,000"
Kia,Cerato,2013,"110,000",automatic,gas,"300,000"
Peugeot,305,1984,"200,000",manual,gas,"60,000"
Daihatsu,Grand terios,2009,"100,000",automatic,gas,"345,000"
Skoda,Fantasia,2011,"170,000",automatic,gas,"385,000"
Geely,Emgrand 7,2015,"210,544",manual,gas,"145,000"
Skoda,Octavia A4,2003,"141,000",automatic,gas,"238,000"
Hyundai,Kona,2018,"60,000",automatic,gas,"680,000"
Opel,Vectra,2008,"113,000",automatic,gas,"250,000"
Hyundai,Elantra MD,2016,"151,000",automatic,gas,"430,000"
Mitsubishi,Lancer Crystala,1999,"300,000",manual,gas,"115,000"
Fiat,128,1984,0,manual,gas,"28,000"
Changan,Alsvin,2022,"85,000",automatic,gas,"290,000"
Geely,Emgrand 7,2017,"180,000",manual,gas,"250,000"
Toyota,Corolla,2020,"89,000",automatic,gas,"600,000"
Mitsubishi,Lancer EX Shark,2017,"39,000",automatic,gas,"420,000"
BMW,316,2015,"85,000",automatic,gas,"550,000"
Kia,Sportage,2017,"95,000",automatic,gas,"825,000"
Haval,H6,2022,"7,500",automatic,gas,"900,000"
